unique_ID,Full_Name,Web_Page,E_mail,Phone_Number,Short_CV,Rank,Member_Type
1,Jisan Saathoff,NULL,jisan.saathoff@gmail.com,6950262644,NULL,NULL,Graduate
2,Jerold Tesoro,NULL,jerold_tesoro@hotmail.com,6964325689,NULL,NULL,Graduate
3,Lofiego Chewning,NULL,lchewning@gmail.com,6994040112,NULL,NULL,Candidate_Lecturer
4,Vutyo Neidenbach,NULL,vneidenbach@hotmail.com,6999167437,NULL,Professor,Dep_Member
5,Londrigan Yonge,NULL,londrigan_yonge@gmail.com,6910784567,NULL,NULL,Researcher
6,Tugman Kamlesh,NULL,tugman_kamlesh@gmail.com,6987335178,NULL,NULL,Undergraduate
7,Shereeta Attles,NULL,sattles@yahoo.com,6985162806,NULL,NULL,Graduate
8,Shalesa Flynn,www.shalesa-flynn.com,sflynn@outlook.com,6905521575,NULL,NULL,Graduate
9,Taziyah Roesler,NULL,taziyah.roesler@yahoo.com,6938769316,NULL,NULL,Graduate
10,Markos Gatwood,NULL,markos_gatwood@hotmail.com,6958301611,NULL,NULL,Undergraduate
11,Leoma Abdelal,NULL,labdelal@gmail.com,6999829488,NULL,NULL,Researcher
12,Wiktoria Everidge,NULL,wiktoria_everidge@outlook.com,6944839656,NULL,Assistant_Professor,Dep_Member
13,Rksasa Laberpool,NULL,rksasa.laberpool@yahoo.com,6923482596,NULL,NULL,Researcher
14,Hasaun Barada,NULL,hasaun.barada@outlook.com,6989280222,NULL,NULL,Candidate_Lecturer
15,Analyz Rizzardi,NULL,analyz.rizzardi@gmail.com,6914482978,NULL,NULL,Candidate_Lecturer
16,Nephtalie Prescod,NULL,nephtalieprescod@hotmail.com,6920067778,NULL,NULL,Undergraduate
17,Nevaeh-Marie Anderson-Brown,NULL,nandersonbrown@outlook.com,6945594090,NULL,NULL,Researcher
18,Guindazola Blanke,NULL,guindazola.blanke@gmail.com,6943941276,NULL,Lecturer,Dep_Member
19,Yılmaz Lamonica,NULL,ylmaz.lamonica@outlook.com,6930439855,NULL,NULL,Researcher
20,Princes Whittier,NULL,princeswhittier@yahoo.com,6949487124,NULL,NULL,Candidate_Lecturer
21,Bella-J Howington,NULL,bellaj_howington@outlook.com,6938832292,NULL,NULL,Undergraduate
22,Sulaimaan Forde,NULL,sulaimaan_forde@hotmail.com,6916242917,NULL,NULL,Candidate_Lecturer
23,Maykell Prima,NULL,maykellprima@hotmail.com,6913969666,NULL,Professor,Dep_Member
24,Keldrick Vasconcellos,NULL,keldrick.vasconcellos@yahoo.com,6953259514,NULL,NULL,Candidate_Lecturer
25,Zinta Huntress,NULL,zinta_huntress@gmail.com,6980270347,NULL,NULL,Candidate_Lecturer
